SACC,Country/Region,SACC_Major_group,Region
9102,Burkina Faso,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9103,Cameroon,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9104,Cabo Verde,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9105,Central African Republic,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9106,Chad,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9107,"Congo, Republic of",SUB-SAHARAN AFRICA,Sub-Saharan Africa
9108,"Congo, Democratic Republic of",SUB-SAHARAN AFRICA,Sub-Saharan Africa
9111,Cote d'Ivoire,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9112,Equatorial Guinea,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9113,Gabon,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9114,Gambia,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9115,Ghana,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9116,Guinea,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9117,Guinea-Bissau,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9118,Liberia,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9121,Mali,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9122,Mauritania,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9123,Niger,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9124,Nigeria,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9125,Sao Tome and Principe,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9126,Senegal,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9127,Sierra Leone,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9128,Togo,SUB-SAHARAN AFRICA,Sub-Saharan Africa
92,Southern and East Africa,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9201,Angola,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9202,Botswana,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9203,Burundi,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9204,Comoros,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9205,Djibouti,SUB-SAHARAN AFRICA,Middle East & North Africa
9206,Eritrea,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9207,Ethiopia,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9208,Kenya,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9211,Lesotho,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9212,Madagascar,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9213,Malawi,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9214,Mauritius,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9215,Mayotte,SUB-SAHARAN AFRICA,
9216,Mozambique,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9217,Namibia,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9218,Reunion,SUB-SAHARAN AFRICA,
9221,Rwanda,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9222,St Helena,SUB-SAHARAN AFRICA,
9223,Seychelles,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9224,Somalia,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9225,South Africa,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9226,Eswatini,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9227,Tanzania,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9228,Uganda,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9231,Zambia,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9232,Zimbabwe,SUB-SAHARAN AFRICA,Sub-Saharan Africa
9299,"Southern and East Africa, nec",,
,Netherlands Antilles,,Latin America & Caribbean
,Channel islands,,Europe & Central Asia
,"North Africa, nec",,Middle East & North Africa
,Patagonia ,,Latin America & Caribbean
,"Taiwan, Province of China",,East Asia & Pacific
,Christmas Island,,East Asia & Pacific
,Cocos (Keeling) Islands,,East Asia & Pacific
,West Germany,,Europe & Central Asia
,USSR,,Europe & Central Asia
,Czechoslovakia,,Europe & Central Asia
,Sudan,,Sub-Saharan Africa
,Ethiopia,,Sub-Saharan Africa
,Panama,,Latin America & Caribbean
,Yemen Arab Republic,,Europe & Central Asia
3213,Serbia and Montenegro,,Europe & Central Asia
,Turkey,,Europe & Central Asia
,"Korea, Democratic Peoples Republic of (North)",,East Asia & Pacific
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
,User-defined,,
